course_id,course_title,module_count,lesson_count,lessons_with_media
2148087502,Digital Presence,16,84,52
2147940642,Securing Your First Job,12,136,56
2147807951,Managing Your First Client,14,116,60
2148181267,Skills Test - Operation Management,6,32,12
2147950554,Skills Profiling,12,100,40
2148165749,Skills Test: Digital Marketing,6,32,12
2148534690,Pitch Perfect: Crafting and Presenting Your Winning Proposition,6,32,8
2148534593,Driving Change: ESG Strategies for Lasting Business Impact,6,36,8
2147809081,Securing Your First Client,12,88,52
2148651881,Championing Sustainability through Digital Innovation,2,8,4
2147808958,Personal Wellbeing,10,108,32
2147933335,Personal Finance,14,112,44
2147934068,Thriving In Your Job,12,108,56
2149164179,Artificial Intelligence untuk Tenaga Pendidik (Bagian 2),8,104,28
2149223867,Building Agents in Copilot Chat (MY),2,4,0
2149165828,Desain pembelajaran abad ke-21,16,64,32
2148896997,Business Marketing and Branding,4,24,4
2149223856,Menjadi Peneroka AI: Satu Jam Pengembaran Koding bersama Minecraft Education (Pelajar K-12),2,12,8
2148651879,Empowering MSMEs in their Journey to Digitalization,2,8,4
2149199805,AI for Educator (Part 2),6,24,12
2149199919,Introduction to Learning Accelerators,2,12,4
2148258227,Kesejahteraan Kendiri,10,108,32
2148674574,Building an Inclusive Digital Economy for Local Communities,2,8,4
2148534676,Communicate with Impact: Strategies for Public Engagement and Influence,6,40,8
2148674587,Maximizing Business Potential Using Digital Tools and Insights,2,8,4
2148258261,Pekerja Lepas 101,12,100,52
2148864407,Boost Your Productivity with Microsoft Copilot,2,40,28
2148256173,Profil Keterampilan yang Membuatmu Unggul,12,100,40
2148257968,Penjenamaan Diri,10,120,60
2148258263,Dapatkan Pekerjaan Impianmu!,12,136,56
2148813914,Keterlihatan Digital,16,84,52
2148836599,Menggerakkan Perubahan: Strategi ESG untuk Impak Perniagaan Berpanjangan,6,36,8
2148836601,Meningkatkan Jualan dan Produktiviti dengan ChatGPT,14,76,28
2148915436, Teroka Generative AI,2,36,24
2149146250,QA Test API,10,48,0
2149201392,AI for Educator (Bahagian 1),2,12,8
2149208587,Learning Accelerators in Action (MY),6,24,12
2149223809,Program Kefasihan AI (Pelajar TVET),14,236,172
2149103206,"PM Onboarding Hub: Start Strong, Lead Smart",10,52,0
2148897197,Strategic Human Resource Management in Women-Led Organisations,4,16,4
2148897084,Innovation and Adoption of Tech in Business,4,16,4
2147950555,Freelancing 101,12,96,48
2148534536,Driving Change: Integrating SDGs into Corporate and SME Practices,6,40,8
2148864394,Explore Internet Search and Beyond,2,40,28
2148258216,Pengurusan Kewangan,14,112,44
2148864393,Explore Generative AI,2,40,24
2148912903,Tingkatkan Produktiviti Anda dengan Microsoft Copilot,2,36,28
2148181263,Skills Test - Social Media Management,6,32,12
2148915531,Teroka AI untuk Semua,2,24,16
2148816520,Pemasaran Digital,6,28,12
2148915431,Apa Itu Kecerdasan Buatan,2,52,44
2148915513,Terokai Carian Internet dan Seterusnya,2,36,28
2148836597,Pengurusan Operasi,6,28,12
2148836598,Admin dan Sokongan Pelanggan,6,28,12
2148580657,Project Placement,6,52,24
2148534651,Strategic Impact Mastery: A Guide to Impactful Reporting,6,44,8
2149172014,Sertifikasi Microsoft Certified Educator (MCE),4,4,0
2149165810,Eksplorasi AI untuk Membangun Pembelajaran yang Siap Masa Depan,2,4,0
2148897183,Global Expansion Mastery,4,16,4
2148181261,Skills Test - Web Design & Development,6,32,12
2148877651,You & AI,2,20,20
2149165852,Persiapan Sertifikasi Microsoft Certified Educator,2,4,0
2149164094,Artificial Intelligence untuk Tenaga Pendidik (Bagian 1),4,36,16
2148915512,Mulakan dengan Microsoft Copilot,2,28,16
2149223769,Building Agents in Copilot Chat (EN),2,4,0
2148813780,Transformasi Digital,14,60,24
2148878635,AI Fluency for Corporates,6,48,40
2148816519,Reka Bentuk & Pembangunan Web,4,28,12
2148258205,Pengurusan Klien Anda,14,120,64
2148836596,Strategi Berkomunikasi untuk Penglibatan Awam dan Pengaruh,6,40,8
2148864395,Explore Responsible AI,2,28,16
2148897174,Technological Adoption for Business Transformation,4,16,4
2148897203,Reflections on Future-Forward Insights,4,16,4
2148875088,Preparation Course for Azure AI Fundamentals (AI-900),40,176,92
2148897104,Embracing the Evolution of Leadership,4,16,4
2149208617,Pengenalan Kepada Learning Accelerators,2,12,4
2148158732,Digital Transformation,14,64,24
2148169302,Boosting Sales and Productivity with ChatGPT Insights,14,76,28
2148185632,ChatGPT for Job Search and Career Development,14,84,28
2148257973,Pikat Hati Klien Pertama Anda,12,88,52
2148257982,Dapatkan Pekerjaan Idaman Anda,12,136,56
2148258206,Wibawa dalam Kerjaya Anda,12,108,56
2148653228,Transformational Leadership and Social Impact,20,156,4
2148836592,Pitch Perfect: Merangka dan Menyampaikan Cadangan yang Meyakinkan,6,32,8
2148839291,AI for Good: Unlocking Potential for Social Impact,14,112,20
2149201423,AI for Educator (Bahagian 2),6,24,12
2148653222,ESG Approach to Sustainability & Social Impact,20,164,16
2148365876,Civic Engagement,14,180,84
2149223835,AI Explorers: Hour of Code with Minecraft Education,2,12,8
2148915515,Terokai AI Secara Bertanggungjawab,2,24,16
2149234138,Employee Onboarding,28,96,52
2148653205,ESG Fundamentals: Principles and Practices,10,100,28
2148651878,Leveraging Digital Solutions for Business Resilience,2,8,4
2149202863,Learning Accelerators in Action (EN),6,24,12
2149192671,AI for Educator (Part 1),4,12,8
2148651877,Unlocking Digital Success  for Women-led Businesses,2,8,4
2149223770,AI Fluency (EN),14,260,172
2147807941,Personal Branding,10,112,52
2149245377,Project Management Onboarding,20,124,44
2148894547,Developing Women-Driven Leadership Skills,4,16,4
2148897140,Strategic Corporate Advancement,4,16,4
2148897037,Financial Management for Business Growth,4,16,4
2148340591,Women in Entrepreneurship,14,72,52
2148861785,Explore AI Basics,2,56,44
2148864397,Get Started with Microsoft Copilot,2,32,20
2148864416,Explore AI for All,2,28,16
2148165761,Skills Test: Content Writing,6,32,12
2148348806,Getting Started to Unlocking the Power of ChatGPT: Beginner edition,10,52,20
2148181265,Skills Test - Admin and Customer Support,6,32,12
