course_id,course_name,course_description,category_id,category_name,content_language,course_item_count,completion_percentage
279,Module 1: Introduction to Artificial Intelligence and Responsible Use of AI in Education,"This course provides foundational knowledge about the principles of artificial intelligence (AI) and how it is used in educational settings. It includes a comprehensive exploration into AI principles, an introductory module on leveraging the potential of AI for trainers, a practical exploration of AI applications, and activities for incorporating AI into teaching and learning. By taking this course, you will develop an understanding of various types of AI systems and their practical applications. You will also learn how to enhance your training programs with AI. Additionally, you will gain valuable insights from real-world examples of AI in action and examine how AI can enhance educational processes.",24,AI Fluency,EN-US,0,0
281,Nhập môn 1: Artificial Intelligence,,24,AI Fluency,VI-VN,0,0
270,Module 0: Introduction to Digital Productivity,,16,Basic Microsoft,EN-US,0,0
214,Module 01: Designing a Document in Word,,16,Basic Microsoft,EN-US,0,0
216,Module 02: Designing an Excel Sheet,,16,Basic Microsoft,EN-US,0,0
217,Module 03: Getting started with OneNote,,16,Basic Microsoft,EN-US,0,0
218,Module 04: Connecting with Outlook,,16,Basic Microsoft,EN-US,0,0
219,Module 05: Creating a Powerpoint Presentation,,16,Basic Microsoft,EN-US,0,0
237,Module 06: Access Information Online,,16,Basic Microsoft,EN-US,0,0
238,Module 07: Participate Safely and Responsibly Online,,16,Basic Microsoft,EN-US,0,0
239,Module 08: Collaborating with Outlook,,16,Basic Microsoft,EN-US,0,0
240,Module 09: Collaborate Online in Word,,16,Basic Microsoft,EN-US,0,0
241,Module 10: Sharing Content with OneDrive,,16,Basic Microsoft,EN-US,0,0
242,"Module 11: Using Chat, Video Calls, and Group Video Meetings",,16,Basic Microsoft,EN-US,0,0
225,Building a Standout CV for Career Success,,14,Employability,EN-US,0,0
224,Digital Branding & Employability - Level 1,"The Movers Workshop on Digital Branding & Employability is a 2-hour interactive workshop on the importance of digital branding and professional networks, using LinkedIn, how to apply for jobs and job selection from a recruiter’s perspective. After attending the Movers Workshop, participants will be able to understand the importance of personal digital branding for employability and how they can define it, and navigate the main functionalities of LinkedIn (improving their profile, creating their network, searching for opportunities).",14,Employability,EN-US,0,0
227,Green Jobs & Sustainability Careers [Level 1],,14,Employability,EN-US,0,0
282,How to find your dream job,,14,Employability,EN-US,0,0
226,Mastering The Art of Interview,,14,Employability,EN-US,0,0
273,Personal Branding through LinkedIn,,14,Employability,EN-US,0,0
337,Xu hướng việc làm xanh dành cho thanh niên,"Bạn có biết rằng xu hướng việc làm dành cho thanh niên trên toàn cầu đang thay đổi nhanh chóng? Trong khóa học kéo dài 1 tiếng này, chúng tôi sẽ cùng bạn khám phá (1) Xu hướng việc làm toàn cầu: Tìm hiểu những ngành nghề và kỹ năng nào đang được ưa chuộng và sẽ phát triển mạnh mẽ trong tương lai; (2) Việc làm xanh: Khám phá khái niệm việc làm xanh, tại sao nó trở thành xu hướng hiện nay và cơ hội nghề nghiệp trong lĩnh vực này.

Khóa học này không chỉ cung cấp kiến thức mà còn giúp bạn định hướng và chuẩn bị tốt hơn cho tương lai nghề nghiệp. 

Hãy tham gia cùng chúng tôi để nắm bắt cơ hội và trở thành người dẫn đầu trong thị trường lao động đầy cạnh tranh!",14,Employability,VI-VN,0,0
429,Course Intro: Entrepreneurial Myths & Entrepreneurial Mindset,,45,Become an Entrepreneur,EN-US,0,0
430,Module 1: Start with What Matters - Problem Definition,"In Module 1, you’ll shift your focus from chasing big ideas to deeply understanding real problems—starting with empathy, curiosity, and your own lived experiences. You’ll learn how to define a meaningful problem, reflect on your personal values and strengths, and lay a strong foundation for building a venture that’s not only innovative, but deeply rooted in what matters most.",45,Become an Entrepreneur,EN-US,0,0
431,Module 2: From Problems to Possibilities - Ideation,"Once you’ve identified a problem worth solving, it’s time to explore solutions. The goal of this module is to unleash your creativity and generate as many ideas as possible—even the wild ones. In entrepreneurship, it’s not about getting it “right” on the first try. It’s about thinking boldly, pushing boundaries, and then narrowing down the most promising directions to prototype and test. So why does ideation matter?",45,Become an Entrepreneur,EN-US,0,0
433,Module 3: Market Testing for Your Idea - Prototyping,"Now that you’ve defined your problem and identified your most promising ideas, it’s time to bring your concept to life—quickly, simply, with the intention to learn. When we think about building something new, our first instinct might be to make it perfect right from the start. But in the world of entrepreneurship, that often could be a recipe for wasted time and effort. This is where prototyping comes in, and it's less about building a polished product and more about a strategic mindset.",45,Become an Entrepreneur,EN-US,0,0
442,Module 4: Storytelling Your Prototype and Build Your Business Model Canvas,"Now that you have something concrete to show, it’s time to get out there and present your prototype to the world! You will learn how to share your business idea to different stakeholders such as your potential customers, partners or team members, which will allow you to get real-life feedback and suggestions to improve your prototype and idea. 

This is a critical phase in your entrepreneurial journey to understand your customer pain points and needs of the market as well as attract partners, team members or investors!

With all these new market insights, you will be able to improve your business idea and start refining your business model, which means how you can monetize your idea and run your business in a sustainable manner, while adding value to your customers.",45,Become an Entrepreneur,EN-US,0,0
