course_id,title,description,status,created_at
2148087502,Digital Presence,"Developing the knowledge and skills needed to reach a wider audience and enhance your online credibility is a must for you to thrive in the digital business environment. In this course, join Nadzirah Hashim, who helps you create and manage a powerful online presence that showcases your professional brand. Let's embark on an exciting journey to effectively market your business and engage with your audience!",ready,2023-01-12T02:45:09.228Z
2147940642,Securing Your First Job,"Finding a job that matches with your career and life aspirations is a goal for many. To find a job that fits you best, you need to know yourself first. In this course, you will explore your aspirations and then, learn ways to find and secure employment. Finding and securing a job is a skill in itself. ",ready,2022-08-10T10:40:43.864Z
2147807951,Managing Your First Client,"Managing clients can be challenging at times, and knowing how to manage the client will benefit the client and you. We will explore different strategies and perspectives on good business practices, how to nurture client relationships, manage conflicts and clients, legal tips to protect you, and steps to close a job that will lead you to better client management. ",ready,2022-03-08T06:13:36.019Z
2148181267,Skills Test - Operation Management,"Improve your operational management skills with Skills Test - Operational Management. Led by industry experts, this course provides personalised evaluation and feedback on your ability to manage resources, optimise processes, and implement strategies to enhance efficiency and productivity. Benchmark your skills against market standards and take your operations management career to the next level. Enrol now and advance your career.",ready,2023-04-12T09:50:09.516Z
2147950554,Skills Profiling,"Having the right skill sets could take your career to the next level. However, profiling skills can be tedious and confusing. For this course, you will learn how to choose career pathways based on your skills, identify your unique skill sets as well as areas that would need some sharpening.",ready,2022-08-21T18:51:56.196Z
2148165749,Skills Test: Digital Marketing,"Take your digital marketing skills to the next level with Skills Test: Digital Marketing. This course provides a personalised evaluation of your skills in areas such as SEO, SEM, email marketing, and more. Led by industry experts, you'll receive feedback and recommendations to improve your performance and succeed in the fast-paced world of digital marketing. Enrol today to enhance your skills and advance your career.",ready,2023-03-27T13:05:28.610Z
2148534690,Pitch Perfect: Crafting and Presenting Your Winning Proposition,"This course focused the art of effective pitching, covering the purpose and opportunities it offers. Participants learn to build persuasive pitch decks using Visual Storytelling, focusing on showcasing solutions impactfully. The training covers components of a good pitch, emphasizing body language, voice, and recovery skills. Understanding the importance of tailored pitches, participants also learn to recover from unexpected situations. The course highlights the step-by-step process of creating impactful pitch decks for stakeholder engagement, raising awareness, and securing funding.",ready,2024-02-20T05:55:23.581Z
2148534593,Driving Change: ESG Strategies for Lasting Business Impact,"This course covered the fundamentals of ESG (Environmental, Social, and Governance) principles in business. You will learn the meaning and importance of ESG, the difference between measurement and reporting, and the stages in developing an ESG framework. The course emphasizes the benefits of ESG implementation, including the integration of Sustainable Development Goals (SDGs). You will also discover the significance of clear and concise messaging for effective communication of ESG strategies to stakeholders, fostering transparency and trust.",ready,2024-02-20T03:38:36.747Z
2147809081,Securing Your First Client,"Finding your first client can be the most challenging part of your freelancing journey. We will explore the different methods and channels for sourcing clients, employ your resources to secure clients, utilize an entrepreneurial mindset, and learn strategies to calculate the rate for your freelancing service. 

A large part of being an entrepreneur is being resourceful and staying resilient in the face of adversity. We’ll show you how to tap into available networks you have at your disposal today and we’ll help you build your first client relationship.",ready,2022-03-09T07:04:34.490Z
2148651881,Championing Sustainability through Digital Innovation,,ready,2024-06-11T03:23:05.875Z
2147808958,Personal Wellbeing,,ready,2022-03-09T02:35:19.503Z
2147933335,Personal Finance,"Becoming financially independent is a goal that everyone wants to achieve, but the path to gaining this independence can often be complicated. Through understanding your personal financial habits, you will be able to create a plan to  manage your finances and budget accordingly in order to lead a more financially sustainable lifestyle.",ready,2022-08-02T12:55:04.758Z
2147934068,Thriving In Your Job,"After the overwhelming process of finishing school, searching for and landing your first job, you are now about to launch your career. The transition from school to work can be exhausting and stressful. Learning how to succeed in your new role is important. We will explore the essence of thriving in your career, portraying a growth mindset and strategies to develop your career. ",ready,2022-08-03T02:43:06.642Z
2149164179,Artificial Intelligence untuk Tenaga Pendidik (Bagian 2),"Jelajahi potensi kecerdasan buatan (AI) dalam pendidikan. Ini mencakup riwayat singkat AI, model bahasa besar (LLM), AI generatif, rekayasa cepat, penggunaan AI yang bertanggung jawab, dan penggunaan dalam pengaturan kelas. Menyelami seni prompt untuk membekali pelajar untuk mendapatkan hasil terbaik dari Microsoft Copilot dan Image Creator dari Designer. Jelajahi berbagai cara untuk meningkatkan pengajaran dan pembelajaran dengan alat yang didukung AI di browser Microsoft Edge, Word, PowerPoint, Minecraft, dan banyak lagi.",ready,2025-09-17T08:44:42.635Z
2149223867,Building Agents in Copilot Chat (MY),,ready,2025-11-03T07:33:18.910Z
2149165828,Desain pembelajaran abad ke-21,"

21st Century Learning Design (21CLD) adalah rangkaian modul untuk pendidik yang menawarkan pendekatan praktis dalam mengembangkan keterampilan abad ke-21 melalui teknologi digital. Berdasarkan metodologi penelitian dan praktik kolaboratif, program ini membantu pendidik merancang kegiatan belajar yang bermakna. Modul mencakup video, bacaan, rubrik, dan anchor lesson. Pendidik dapat aktif mengkodekan dan mendesain ulang pembelajaran sesuai rubrik 21CLD.",ready,2025-09-18T04:50:52.201Z
2148896997,Business Marketing and Branding,"Business Marketing and Branding is designed to help entrepreneurs and professionals build a strong, purpose-driven brand. This course explores the 3Ps Framework—Brand Positioning, Brand Purpose, and Brand Presence—providing actionable strategies to create a compelling brand identity and engage target customers effectively. Through real-world success stories, you’ll gain insights into proven marketing techniques and learn how to apply them to your own business. By the end of the course, you’ll have the knowledge and tools to develop a brand that stands out in today’s competitive market.",ready,2025-02-10T06:05:10.764Z
2149223856,Menjadi Peneroka AI: Satu Jam Pengembaran Koding bersama Minecraft Education (Pelajar K-12),Programkan Ejen Minecraft untuk mengumpul data tentang kebakaran hutan. Pelajari asas pengekodan dan terokai contoh dunia sebenar kecerdasan buatan.,ready,2025-11-03T07:13:35.578Z
2148651879,Empowering MSMEs in their Journey to Digitalization,,ready,2024-06-11T03:18:57.325Z
